date,time,logtype,page,ip,user,sessionid,executetime
2020/03/06,10:06:54,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,6
2020/03/06,10:06:57,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/06,10:10:44,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,5
2020/03/06,10:10:48,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/06,10:11:56,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,14199
2020/03/06,10:12:46,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,16541
2020/03/06,10:14:24,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,8
2020/03/06,10:14:28,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/06,10:14:28,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,43
2020/03/06,10:15:54,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,8
2020/03/06,10:15:58,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/06,10:15:58,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,48
2020/03/06,10:17:14,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,8
2020/03/06,10:17:18,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/06,10:17:18,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,87
2020/03/06,10:21:43,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,13
