date,time,logtype,page,ip,user,sessionid,executetime
2020/03/05,14:30:42,info,/Demo1/EXP,+IP+#1:+fe80::d975:229a:2561:1eef%20+IP+#2:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,50
2020/03/05,14:42:51,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,15
2020/03/05,14:44:13,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,13078
2020/03/05,14:46:58,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,96738
2020/03/05,15:09:59,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,10
2020/03/05,15:10:59,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,7311
2020/03/05,15:14:53,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:15:13,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:15:22,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:17:29,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,9
2020/03/05,15:22:16,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:22:42,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,2
2020/03/05,15:25:26,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:30:54,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,14
2020/03/05,15:31:37,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:39:58,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,2
2020/03/05,15:40:12,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:42:30,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:42:35,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:43:40,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:43:47,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:50:57,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,9
2020/03/05,15:51:00,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+10.50.101.181,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:57:58,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,9
2020/03/05,15:58:01,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,15:58:58,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:59:02,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,15:59:41,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:00:23,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,16:04:14,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:04:14,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:04:29,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,12
2020/03/05,16:04:32,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:05:05,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:05:13,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,16:07:56,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,21
2020/03/05,16:15:37,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:15:38,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:16:53,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:16:55,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:23:33,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,8
2020/03/05,16:23:36,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,16:31:06,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,0
2020/03/05,16:31:20,info,/Demo1/Home/Menu,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
2020/03/05,16:33:58,info,/Demo1/EXP,+IP+#1:+fe80::7dc7:ca6f:e616:914b%18+IP+#2:+fe80::d975:229a:2561:1eef%20+IP+#3:+10.50.101.181+IP+#4:+172.20.10.7,No+Session+User+IP:::1,er3bmmly3zwf5yieyz4oqj0j,1
